AB1,Caenorhabditis elegans
AB2,Caenorhabditis elegans
AB3,Caenorhabditis elegans
AB4,Caenorhabditis elegans
CB3191,Caenorhabditis elegans
CB3192,Caenorhabditis elegans
CB3193,Caenorhabditis elegans
CB3194,Caenorhabditis elegans
CB3195,Caenorhabditis elegans
CB3196,Caenorhabditis elegans
CB3197,Caenorhabditis elegans
CB3198,Caenorhabditis elegans
CB3199,Caenorhabditis elegans
CB4507,Caenorhabditis elegans
CB4555,Caenorhabditis elegans
CB4851,Caenorhabditis elegans
CB4852,Caenorhabditis elegans
CB4853,Caenorhabditis elegans
CB4854,Caenorhabditis elegans
CB4855,Caenorhabditis elegans
CB4856,Caenorhabditis elegans
CB4857,Caenorhabditis elegans
CB4858,Caenorhabditis elegans
CB4869,Caenorhabditis elegans
CB4932,Caenorhabditis elegans
CC1,Caenorhabditis elegans
CC2,Caenorhabditis elegans
CC3,Caenorhabditis elegans
CX11254,Caenorhabditis elegans
CX11258,Caenorhabditis elegans
CX11259,Caenorhabditis elegans
CX11262,Caenorhabditis elegans
CX11264,Caenorhabditis elegans
CX11268,Caenorhabditis elegans
CX11271,Caenorhabditis elegans
CX11276,Caenorhabditis elegans
CX11278,Caenorhabditis elegans
CX11285,Caenorhabditis elegans
CX11292,Caenorhabditis elegans
CX11294,Caenorhabditis elegans
CX11305,Caenorhabditis elegans
CX11307,Caenorhabditis elegans
CX11314,Caenorhabditis elegans
CX11315,Caenorhabditis elegans
CX11316,Caenorhabditis elegans
CX11317,Caenorhabditis elegans
CX11319,Caenorhabditis elegans
CX11321,Caenorhabditis elegans
DA650,Caenorhabditis elegans
DH424,Caenorhabditis elegans
DL200,Caenorhabditis elegans
DL238,Caenorhabditis elegans
DP13,Caenorhabditis elegans
DR1344,Caenorhabditis elegans
DR1345,Caenorhabditis elegans
DR1346,Caenorhabditis elegans
DR1347,Caenorhabditis elegans
DR1348,Caenorhabditis elegans
DR1349,Caenorhabditis elegans
DR1350,Caenorhabditis elegans
ED3005,Caenorhabditis elegans
ED3010,Caenorhabditis elegans
ED3011,Caenorhabditis elegans
ED3012,Caenorhabditis elegans
ED3014,Caenorhabditis elegans
ED3015,Caenorhabditis elegans
ED3017,Caenorhabditis elegans
ED3019,Caenorhabditis elegans
ED3020,Caenorhabditis elegans
ED3021,Caenorhabditis elegans
ED3023,Caenorhabditis elegans
ED3024,Caenorhabditis elegans
ED3028,Caenorhabditis elegans
ED3040,Caenorhabditis elegans
ED3042,Caenorhabditis elegans
ED3043,Caenorhabditis elegans
ED3046,Caenorhabditis elegans
ED3048,Caenorhabditis elegans
ED3049,Caenorhabditis elegans
ED3052,Caenorhabditis elegans
ED3054,Caenorhabditis elegans
ED3072,Caenorhabditis elegans
ED3073,Caenorhabditis elegans
ED3075,Caenorhabditis elegans
ED3077,Caenorhabditis elegans
EG4346,Caenorhabditis elegans
EG4347,Caenorhabditis elegans
EG4348,Caenorhabditis elegans
EG4349,Caenorhabditis elegans
EG4680,Caenorhabditis elegans
EG4689,Caenorhabditis elegans
EG4724,Caenorhabditis elegans
EG4725,Caenorhabditis elegans
