AB1,86954
AB2,3456
AB3,108042
AB4,3356
CB3191,
CB3192,
CB3193,
CB3194,
CB3195,
CB3196,
CB3197,
CB3198,3448
CB3199,
CB4507,
CB4555,
CB4851,1900
CB4852,2026
CB4853,107498
CB4854,106226
CB4855,4005
CB4856,243302
CB4857,3589
CB4858,52024
CB4869,
CB4932,2824
CC1,
CC2,
CC3,
CX11254,
CX11258,3450
CX11259,3115
CX11262,4839
CX11264,4996
CX11268,4006
CX11271,3510
CX11276,3855
CX11278,3446
CX11285,5042
CX11292,3115
CX11294,4833
CX11305,3469
CX11307,4323
CX11314,4315
CX11315,4032
CX11316,3854
CX11317,3460
CX11319,3488
CX11321,5017
DA650,
DH424,
DL200,4281
DL238,7550
DP13,
DR1344,1905
DR1345,
DR1346,
DR1347,
DR1348,
DR1349,
DR1350,3457
ED3005,4083
ED3010,1417
ED3011,3912
ED3012,1416
ED3014,1416
ED3015,1417
ED3017,109164
ED3019,3544
ED3020,3544
ED3021,131444
ED3023,1401
ED3024,1415
ED3028,1416
ED3040,114137
ED3042,97663
ED3043,3744
ED3046,4495
ED3048,3103
ED3049,138129
ED3052,114151
ED3054,65523
ED3072,110783
ED3073,3601
ED3075,3556
ED3077,3830
EG4346,1556
EG4347,1551
EG4348,5316
EG4349,5313
EG4680,2687
EG4689,2688
EG4724,4908
EG4725,5740
EG4945,2687
EG4946,2687
EG4948,2687
EG4951,2687
EG4957,2687
GM209,
JT11362,2916
JT11398,2916
JT11399,2917
JU258,209861
JU262,3475
JU263,108097
JU277,
JU298,
JU299,3452
JU300,105299
JU301,
JU302,
JU303,
JU304,
JU305,
JU306,
JU307,
JU308,
JU309,
JU310,3455
JU311,2782
JU312,52838
JU313,2783
JU314,2784
JU315,
JU316,2782
JU317,2782
JU318,2787
JU319,
JU320,
JU321,2783
JU322,114332
JU323,3681
JU342,3677
JU343,
JU344,
JU345,39791
JU346,3931
JU347,3671
JU360,125461
JU361,48786
JU362,3975
JU363,3975
JU364,
JU365,
JU366,
JU367,1497
JU368,4047
JU369,
JU370,
JU371,
JU393,3747
JU394,57655
JU395,4615
JU396,4614
JU397,80870
JU398,3877
JU399,1818
JU400,
JU401,3875
JU402,
JU406,1885
JU407,
JU438,3455
JU440,2080
JU496,
JU497,
JU498,
JU499,
JU500,
JU501,
JU502,
JU503,
JU504,
JU505,
JU526,
JU527,
JU528,
JU529,
JU530,
JU531,4634
JU532,
JU533,138786
JU534,
JU535,
JU536,
JU537,
JU538,
JU539,
JU540,
JU541,
JU542,
JU543,
JU544,
JU545,
JU546,
JU547,
JU548,
JU549,
JU550,
JU551,
JU552,
JU553,
JU554,
JU555,
JU556,
JU557,
JU558,
JU559,
JU560,
JU561,2865
JU562,
JU563,2863
JU564,
JU565,
JU566,
JU567,
JU568,
JU569,
JU570,
JU571,
JU572,
JU573,
JU574,
JU575,
JU576,
JU577,
JU578,
JU579,
JU580,
JU581,
JU582,
JU583,
JU584,
JU585,
JU586,
JU587,
JU588,
JU589,
JU590,
JU591,
JU592,
JU593,
JU594,
JU595,
JU596,
JU597,
JU598,
JU599,
JU600,
JU622,4613
JU623,
JU624,
JU625,
JU626,
JU627,
JU628,
JU629,
JU630,
JU631,
JU632,
JU633,
JU634,
JU635,
JU636,
JU637,
JU638,
JU639,
JU640,
JU641,
JU642,111190
JU643,
JU644,
JU649,
JU650,
JU651,
JU652,
JU653,
JU654,
JU655,
JU656,
JU657,
JU658,
JU659,
JU660,
JU661,
JU662,
JU663,
JU664,
JU665,
JU666,
JU667,
JU668,
JU669,
JU670,
JU671,
